id;nome;raca;cor;descricao;idCliente;imagem;data_nascimento;microchip;rg_animal;id_porte;controlar_vacinas;sexo;id_especie;raca2;pelagem;cor_pelagem;castrado;adestrado;observacoes;observacao_banhotosa;sem_perfume;problema_pele;banho_medicamentoso;escovacao_dentaria;status;origem_bt;data_criacao;criado_por;data_atualizacao;atualizado_por;foto;vivo;id_integracao;
"124957";"LUFFY ";"93";"";"";"973329";"";"1969-12-31";"";"";"1";"0";"2";"2";"0";"1";"18";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-08-26 17:21:50";"japet.viviane";"0000-00-00 00:00:00";"";"";"1";"";
"160386";"Amora ";"43";"";"";"788213";"";"0000-00-00";"";"";"0";"0";"";"1";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-12 09:09:34";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"169623";"Amora Medreiros ";"87";"";"";"896934";"";"1969-12-31";"";"";"0";"0";"1";"1";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-16 12:08:09";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"179014";"Athenna e Nala ";"41";"";"";"190015";"";"2017-01-01";"NAO";"";"3";"0";"1";"1";"0";"1";"3";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-03 10:22:41";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"190039";" Cindy";"87";"";"";"130128";"";"0000-00-00";"";"";"0";"0";"";"1";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-21 12:21:08";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"219631";"Kim";"93";"";"";"121371";"";"0000-00-00";"";"";"0";"0";"";"2";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-06-13 17:19:03";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"236941";"Pérola ";"72";"";"";"474984";"";"0000-00-00";"";"";"0";"0";"";"1";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-01 18:15:03";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"307948";"lilica ";"1000";"";"";"322884";"";"0000-00-00";"";"";"0";"0";"";"1";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-18 15:06:00";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"320138";"Suzy";"113";"";"";"812687";"";"0000-00-00";"";"";"0";"0";"";"1";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-04 14:23:23";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"338324";"Ariel ";"93";"";"";"844642";"";"0000-00-00";"";"";"0";"0";"";"2";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-12 18:58:46";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"362539";"Madalena- Safira - Margarida";"93";"";"";"187421";"";"0000-00-00";"";"";"0";"0";"";"2";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-08 15:16:45";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"459791";"Atena ";"101";"";"";"763091";"";"0000-00-00";"";"";"0";"0";"";"1";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-12 09:50:29";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"460962";"frajola-frajolina";"93";"";"";"649990";"";"0000-00-00";"";"";"0";"0";"";"2";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-10 10:18:35";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"463095";"Perola e Chocolate ";"93";"";"";"956258";"";"0000-00-00";"";"";"0";"0";"";"1";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-12 10:03:52";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"487834";"Aurora";"87";"";"";"727441";"";"0000-00-00";"";"";"0";"0";"";"1";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-05 17:57:45";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"488038";"spake e negão";"8";"";"";"914166";"";"0000-00-00";"";"";"0";"0";"";"1";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-04 16:21:35";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"530716";"MAX";"93";"";"";"236946";"";"0000-00-00";"";"";"0";"0";"";"1";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"0";"2025-07-12 11:32:35";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"594023";"théo ";"92";"";"";"972820";"";"0000-00-00";"";"";"0";"0";"";"1";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-15 15:44:05";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"695337";"Lívia ";"72";"";"";"107700";"";"2024-11-29";"";"";"1";"0";"1";"1";"0";"4";"22";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-06-14 16:19:26";"japet.felipe";"2025-06-14 16:25:09";"FELIPE VASCONCELOS";"";"1";"";
"715745";"Annita";"43";"";"";"768455";"";"1969-12-31";"";"";"1";"0";"1";"1";"0";"4";"22";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-04-24 10:51:02";"japet.joao";"2025-05-06 14:12:31";"FELIPE VASCONCELOS";"";"1";"";
"735877";"Ferinha";"93";"";"";"122395";"";"2019-06-25";"";"";"1";"0";"1";"1";"0";"1";"21";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-06-15 11:43:33";"japet.felipe";"2025-06-15 11:44:52";"FELIPE VASCONCELOS";"";"1";"";
"777885";"Hulk 07-11-2014";"72";"";"";"190277";"";"0000-00-00";"";"";"0";"0";"";"1";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-18 08:48:27";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"791826";"Mel ";"113";"";"";"896512";"";"2013-01-01";"";"";"0";"0";"1";"1";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-06-11 15:06:03";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"794710";"Abelardo";"93";"";"";"170469";"";"0000-00-00";"";"";"0";"0";"";"2";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-06-13 17:27:34";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
"850355";"Olga, Gordo, Miyauchi, Gordo";"93";"";"";"213288";"";"0000-00-00";"";"";"0";"0";"";"2";"0";"";"0";"0";"0";"";"";"0";"0";"0";"0";"1";"0";"2025-07-01 15:41:54";"japet.felipe";"0000-00-00 00:00:00";"";"";"1";"";
